epoch,train_mse,val_mse
0,-1.0,0.04136824607849121
1,-1.0,0.027398383244872093
2,-1.0,0.027004724368453026
3,-1.0,0.023331157863140106
4,-1.0,0.02351391687989235
5,-1.0,0.022897040471434593
6,-1.0,0.022814756259322166
7,-1.0,0.02241453528404236
8,-1.0,0.022191094234585762
9,-1.0,0.021904660388827324
10,-1.0,0.021567700430750847
11,-1.0,0.021352218464016914
12,-1.0,0.021426625549793243
13,-1.0,0.020052606239914894
14,-1.0,0.019151920452713966
15,-1.0,0.01875630021095276
16,-1.0,0.018599839881062508
17,-1.0,0.018529077991843224
18,-1.0,0.018436158075928688
19,-1.0,0.018313981592655182
20,-1.0,0.018201686441898346
21,-1.0,0.01811337284743786
22,-1.0,0.018058177083730698
23,-1.0,0.018087323755025864
24,-1.0,0.018012207001447678
25,-1.0,0.017972182482481003
26,-1.0,0.01798633299767971
27,-1.0,0.017845885828137398
28,-1.0,0.017852025106549263
29,-1.0,0.017800725996494293
30,-1.0,0.017746808007359505
31,-1.0,0.017722660675644875
32,-1.0,0.017731618136167526
33,-1.0,0.01775343343615532
